County,FIPS,VTD,cntyvtd,vtdkeyvalue,Office,Name,Party,Incumbent,Votes
Dallas,113,4518,1134518,2825,Irving City Council 3,Zeske,,N,0
Dallas,113,4605,1134605,2857,Irving City Council 3,Zeske,,N,0
Dallas,113,4608,1134608,2860,Irving City Council 3,Zeske,,N,191
Dallas,113,4609,1134609,2861,Irving City Council 3,Zeske,,N,27
Dallas,113,4621,1134621,2873,Irving City Council 3,Zeske,,N,180
Dallas,113,4622,1134622,2874,Irving City Council 3,Zeske,,N,150
Dallas,113,4628,1134628,2880,Irving City Council 3,Zeske,,N,50
Dallas,113,4632,1134632,2884,Irving City Council 3,Zeske,,N,87
Dallas,113,4644,1134644,2891,Irving City Council 3,Zeske,,N,0
Dallas,113,4648,1134648,2893,Irving City Council 3,Zeske,,N,65
Dallas,113,4673,1134673,2911,Irving City Council 3,Zeske,,N,0
Dallas,113,4674,1134674,2912,Irving City Council 3,Zeske,,N,0
Dallas,113,4677,1134677,2914,Irving City Council 3,Zeske,,N,16
Dallas,113,4678,1134678,2915,Irving City Council 3,Zeske,,N,3
Dallas,113,4518,1134518,2825,Irving City Council 3,Khabeer,,N,0
Dallas,113,4605,1134605,2857,Irving City Council 3,Khabeer,,N,0
Dallas,113,4608,1134608,2860,Irving City Council 3,Khabeer,,N,104
Dallas,113,4609,1134609,2861,Irving City Council 3,Khabeer,,N,43
Dallas,113,4621,1134621,2873,Irving City Council 3,Khabeer,,N,314
Dallas,113,4622,1134622,2874,Irving City Council 3,Khabeer,,N,54
Dallas,113,4628,1134628,2880,Irving City Council 3,Khabeer,,N,30
Dallas,113,4632,1134632,2884,Irving City Council 3,Khabeer,,N,32
Dallas,113,4644,1134644,2891,Irving City Council 3,Khabeer,,N,0
Dallas,113,4648,1134648,2893,Irving City Council 3,Khabeer,,N,40
Dallas,113,4673,1134673,2911,Irving City Council 3,Khabeer,,N,0
Dallas,113,4674,1134674,2912,Irving City Council 3,Khabeer,,N,0
Dallas,113,4677,1134677,2914,Irving City Council 3,Khabeer,,N,13
Dallas,113,4678,1134678,2915,Irving City Council 3,Khabeer,,N,4
Denton,121,1001,1211001,2937,Denton Mayor,Briggs,,N,0
Denton,121,1002,1211002,2938,Denton Mayor,Briggs,,N,0
Denton,121,1003,1211003,2939,Denton Mayor,Briggs,,N,0
Denton,121,1004,1211004,2940,Denton Mayor,Briggs,,N,0
Denton,121,1005,1211005,2941,Denton Mayor,Briggs,,N,0
Denton,121,1006,1211006,2942,Denton Mayor,Briggs,,N,0
Denton,121,1007,1211007,2943,Denton Mayor,Briggs,,N,4
Denton,121,1008,1211008,2944,Denton Mayor,Briggs,,N,0
Denton,121,1010,1211010,2946,Denton Mayor,Briggs,,N,0
Denton,121,1055,1211055,2990,Denton Mayor,Briggs,,N,0
Denton,121,1056,1211056,2991,Denton Mayor,Briggs,,N,126
Denton,121,1057,1211057,2992,Denton Mayor,Briggs,,N,49
Denton,121,1058,1211058,2993,Denton Mayor,Briggs,,N,157
Denton,121,1059,1211059,2994,Denton Mayor,Briggs,,N,406
Denton,121,1060,1211060,2995,Denton Mayor,Briggs,,N,233
Denton,121,1061,1211061,2996,Denton Mayor,Briggs,,N,311
Denton,121,1062,1211062,2997,Denton Mayor,Briggs,,N,439
Denton,121,1063,1211063,2998,Denton Mayor,Briggs,,N,193
Denton,121,1064,1211064,2999,Denton Mayor,Briggs,,N,695
Denton,121,1065,1211065,3000,Denton Mayor,Briggs,,N,67
Denton,121,1066,1211066,3001,Denton Mayor,Briggs,,N,12
Denton,121,2067,1212067,3005,Denton Mayor,Briggs,,N,104
Denton,121,2068,1212068,3006,Denton Mayor,Briggs,,N,0
